cImplementation2,cImplementation3,ICER (Cost/QALY)-Categorical Risk Assessment,ICER (Cost/QALY)-NSC,ICER (Cost/QALY)-Enhanced Clinical Observation
0.0,0.0,NaN,NaN,32655.825058744707
0.0,20.0,NaN,NaN,62017.66106681691
0.0,40.0,NaN,NaN,91379.49707488912
0.0,60.0,NaN,NaN,120741.33308296133
0.0,80.0,NaN,NaN,150103.16909103352
0.0,100.0,NaN,NaN,179465.00509910574
0.0,120.0,NaN,NaN,208826.84110717793
0.0,140.0,NaN,NaN,238188.67711525015
0.0,160.0,NaN,NaN,267550.51312332234
0.0,180.0,NaN,NaN,296912.3491313945
0.0,200.0,NaN,NaN,326274.1851394668
0.0,220.0,NaN,NaN,355636.02114753897
0.0,240.0,NaN,NaN,384997.85715561116
0.0,260.0,NaN,NaN,414359.69316368335
0.0,280.0,NaN,NaN,443721.52917175554
0.0,300.0,NaN,NaN,473083.3651798278
0.0,320.0,NaN,NaN,502445.2011879
0.0,340.0,NaN,NaN,531807.0371959722
0.0,360.0,NaN,NaN,561168.8732040444
0.0,380.0,NaN,NaN,590530.7092121165
0.0,400.0,NaN,NaN,619892.5452201888
0.0,420.0,NaN,NaN,649254.381228261
0.0,440.0,NaN,NaN,678616.2172363332
0.0,460.0,NaN,NaN,707978.0532444054
0.0,480.0,NaN,NaN,737339.8892524776
0.0,500.0,NaN,NaN,766701.7252605498
0.0,520.0,NaN,NaN,796063.561268622
0.0,540.0,NaN,NaN,825425.3972766942
0.0,560.0,NaN,NaN,854787.2332847664
0.0,580.0,NaN,NaN,884149.0692928386
0.0,600.0,NaN,NaN,913510.9053009108
0.0,620.0,NaN,NaN,942872.7413089831
0.0,640.0,NaN,NaN,972234.5773170552
0.0,660.0,NaN,NaN,1001596.4133251274
0.0,680.0,NaN,NaN,1030958.2493331997
0.0,700.0,NaN,NaN,1060320.085341272
0.0,720.0,NaN,NaN,1089681.921349344
0.0,740.0,NaN,NaN,1119043.7573574162
0.0,760.0,NaN,NaN,1148405.5933654883
0.0,780.0,NaN,NaN,1177767.4293735607
0.0,800.0,NaN,NaN,1207129.2653816328
0.0,820.0,NaN,NaN,1236491.101389705
0.0,840.0,NaN,NaN,1265852.9373977773
0.0,860.0,NaN,NaN,1295214.7734058495
0.0,880.0,NaN,NaN,1324576.6094139216
0.0,900.0,NaN,NaN,1353938.445421994
0.0,920.0,NaN,NaN,1383300.281430066
0.0,940.0,NaN,NaN,1412662.1174381382
0.0,960.0,NaN,NaN,1442023.9534462106
0.0,980.0,NaN,NaN,1471385.7894542827
0.0,1000.0,NaN,NaN,1500747.6254623549
0.0,1020.0,NaN,NaN,1530109.461470427
0.0,1040.0,NaN,NaN,1559471.2974784994
0.0,1060.0,NaN,NaN,1588833.1334865715
0.0,1080.0,NaN,NaN,1618194.9694946436
0.0,1100.0,NaN,NaN,1647556.805502716
0.0,1120.0,NaN,NaN,1676918.6415107881
0.0,1140.0,NaN,NaN,1706280.4775188603
0.0,1160.0,NaN,NaN,1735642.3135269326
0.0,1180.0,NaN,NaN,1765004.1495350047
0.0,1200.0,NaN,NaN,1794365.9855430769
0.0,1220.0,NaN,NaN,1823727.8215511492
0.0,1240.0,NaN,NaN,1853089.6575592214
0.0,1260.0,NaN,NaN,1882451.4935672935
0.0,1280.0,NaN,NaN,1911813.3295753656
0.0,1300.0,NaN,NaN,1941175.165583438
0.0,1320.0,NaN,NaN,1970537.0015915101
0.0,1340.0,NaN,NaN,1999898.8375995823
0.0,1360.0,NaN,NaN,2029260.6736076546
0.0,1380.0,NaN,NaN,2058622.5096157268
0.0,1400.0,NaN,NaN,2087984.345623799
0.0,1420.0,NaN,NaN,2117346.181631871
0.0,1440.0,NaN,NaN,2146708.0176399434
0.0,1460.0,NaN,NaN,2176069.8536480158
0.0,1480.0,NaN,NaN,2205431.6896560877
0.0,1500.0,NaN,NaN,2234793.52566416
0.0,1520.0,NaN,NaN,2264155.3616722324
0.0,1540.0,NaN,NaN,2293517.1976803043
0.0,1560.0,NaN,NaN,2322879.0336883767
0.0,1580.0,NaN,NaN,2352240.869696449
0.0,1600.0,NaN,NaN,2381602.705704521
0.0,1620.0,NaN,NaN,2410964.5417125933
0.0,1640.0,NaN,NaN,2440326.3777206657
0.0,1660.0,NaN,NaN,2469688.2137287376
0.0,1680.0,NaN,NaN,2499050.04973681
0.0,1700.0,NaN,NaN,2528411.885744882
0.0,1720.0,NaN,NaN,2557773.721752954
0.0,1740.0,NaN,NaN,2587135.5577610265
0.0,1760.0,NaN,NaN,2616497.3937690984
0.0,1780.0,NaN,NaN,2645859.229777171
0.0,1800.0,NaN,NaN,2675221.065785243
0.0,1820.0,NaN,NaN,2704582.901793315
0.0,1840.0,NaN,NaN,2733944.7378013874
0.0,1860.0,NaN,NaN,2763306.57380946
0.0,1880.0,NaN,NaN,2792668.4098175317
0.0,1900.0,NaN,NaN,2822030.245825604
0.0,1920.0,NaN,NaN,2851392.0818336764
0.0,1940.0,NaN,NaN,2880753.9178417483
0.0,1960.0,NaN,NaN,2910115.7538498207
0.0,1980.0,NaN,NaN,2939477.589857893
0.0,2000.0,NaN,NaN,2968839.425865965
20.0,0.0,NaN,NaN,3293.9890506725046
20.0,20.0,NaN,NaN,32655.825058744707
20.0,40.0,NaN,NaN,62017.66106681691
20.0,60.0,NaN,NaN,91379.49707488912
20.0,80.0,NaN,NaN,120741.33308296133
20.0,100.0,NaN,NaN,150103.16909103352
20.0,120.0,NaN,NaN,179465.00509910574
20.0,140.0,NaN,NaN,208826.84110717793
20.0,160.0,NaN,NaN,238188.67711525015
20.0,180.0,NaN,NaN,267550.51312332234
20.0,200.0,NaN,NaN,296912.3491313945
20.0,220.0,NaN,NaN,326274.1851394668
20.0,240.0,NaN,NaN,355636.02114753897
20.0,260.0,NaN,NaN,384997.85715561116
20.0,280.0,NaN,NaN,414359.69316368335
20.0,300.0,NaN,NaN,443721.52917175554
20.0,320.0,NaN,NaN,473083.3651798278
20.0,340.0,NaN,NaN,502445.2011879
20.0,360.0,NaN,NaN,531807.0371959722
20.0,380.0,NaN,NaN,561168.8732040444
20.0,400.0,NaN,NaN,590530.7092121165
20.0,420.0,NaN,NaN,619892.5452201888
20.0,440.0,NaN,NaN,649254.381228261
20.0,460.0,NaN,NaN,678616.2172363332
20.0,480.0,NaN,NaN,707978.0532444054
20.0,500.0,NaN,NaN,737339.8892524776
20.0,520.0,NaN,NaN,766701.7252605498
20.0,540.0,NaN,NaN,796063.561268622
20.0,560.0,NaN,NaN,825425.3972766942
20.0,580.0,NaN,NaN,854787.2332847664
20.0,600.0,NaN,NaN,884149.0692928386
20.0,620.0,NaN,NaN,913510.9053009108
20.0,640.0,NaN,NaN,942872.7413089831
