WTP,Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0,3.0E-4,0.55008,0.44962
3000.0,2.8E-4,0.54152,0.4582
6000.0,2.6E-4,0.53318,0.46656
9000.0,2.5E-4,0.52499,0.47476
12000.0,2.4E-4,0.5174,0.48236
15000.0,2.3E-4,0.50988,0.48989
18000.0,2.1E-4,0.50224,0.49755
21000.0,2.0E-4,0.4949,0.5049
24000.0,1.9E-4,0.48778,0.51203
27000.0,1.9E-4,0.48029,0.51952
30000.0,1.7E-4,0.47345,0.52638
33000.0,1.7E-4,0.46666,0.53317
36000.0,1.7E-4,0.45994,0.53989
39000.0,1.4E-4,0.4536,0.54626
42000.0,1.3E-4,0.4476,0.55227
45000.0,1.0E-4,0.44083,0.55907
48000.0,9.0E-5,0.43468,0.56523
51000.0,9.0E-5,0.42868,0.57123
54000.0,9.0E-5,0.42248,0.57743
57000.0,8.0E-5,0.41672,0.5832
60000.0,8.0E-5,0.411,0.58892
63000.0,7.0E-5,0.40521,0.59472
66000.0,7.0E-5,0.40019,0.59974
69000.0,7.0E-5,0.39488,0.60505
72000.0,7.0E-5,0.38968,0.61025
75000.0,7.0E-5,0.38453,0.6154
78000.0,7.0E-5,0.3794,0.62053
81000.0,7.0E-5,0.37415,0.62578
84000.0,7.0E-5,0.36959,0.63034
87000.0,6.0E-5,0.36468,0.63526
90000.0,6.0E-5,0.36041,0.63953
93000.0,5.0E-5,0.35563,0.64432
96000.0,5.0E-5,0.35137,0.64858
99000.0,5.0E-5,0.34725,0.6527
102000.0,5.0E-5,0.34305,0.6569
105000.0,5.0E-5,0.33878,0.66117
108000.0,5.0E-5,0.33482,0.66513
111000.0,5.0E-5,0.33134,0.66861
114000.0,5.0E-5,0.32732,0.67263
117000.0,5.0E-5,0.32386,0.67609
120000.0,5.0E-5,0.32035,0.6796
123000.0,5.0E-5,0.31663,0.68332
126000.0,5.0E-5,0.31295,0.687
129000.0,5.0E-5,0.30969,0.69026
132000.0,5.0E-5,0.30643,0.69352
135000.0,5.0E-5,0.3032,0.69675
138000.0,5.0E-5,0.29998,0.69997
141000.0,5.0E-5,0.29689,0.70306
144000.0,5.0E-5,0.29375,0.7062
147000.0,5.0E-5,0.29071,0.70924
150000.0,5.0E-5,0.28732,0.71263
153000.0,5.0E-5,0.28446,0.71549
156000.0,5.0E-5,0.28155,0.7184
159000.0,4.0E-5,0.2789,0.72106
162000.0,4.0E-5,0.2761,0.72386
165000.0,4.0E-5,0.27343,0.72653
168000.0,3.0E-5,0.27095,0.72902
171000.0,2.0E-5,0.26834,0.73164
174000.0,2.0E-5,0.26566,0.73432
177000.0,2.0E-5,0.26322,0.73676
180000.0,2.0E-5,0.26045,0.73953
183000.0,2.0E-5,0.25804,0.74194
186000.0,2.0E-5,0.25543,0.74455
189000.0,2.0E-5,0.25321,0.74677
192000.0,2.0E-5,0.25079,0.74919
195000.0,2.0E-5,0.24833,0.75165
198000.0,2.0E-5,0.24588,0.7541
201000.0,2.0E-5,0.24379,0.75619
204000.0,2.0E-5,0.24135,0.75863
207000.0,2.0E-5,0.23911,0.76087
210000.0,1.0E-5,0.23707,0.76292
213000.0,1.0E-5,0.23485,0.76514
216000.0,1.0E-5,0.23297,0.76702
219000.0,1.0E-5,0.23052,0.76947
222000.0,1.0E-5,0.22857,0.77142
225000.0,1.0E-5,0.22683,0.77316
228000.0,1.0E-5,0.22492,0.77507
231000.0,1.0E-5,0.22287,0.77712
234000.0,1.0E-5,0.22116,0.77883
237000.0,1.0E-5,0.21934,0.78065
240000.0,1.0E-5,0.21763,0.78236
243000.0,1.0E-5,0.21582,0.78417
246000.0,1.0E-5,0.21407,0.78592
249000.0,1.0E-5,0.21236,0.78763
252000.0,1.0E-5,0.21058,0.78941
255000.0,1.0E-5,0.20891,0.79108
258000.0,1.0E-5,0.20751,0.79248
261000.0,1.0E-5,0.20575,0.79424
264000.0,1.0E-5,0.20398,0.79601
267000.0,1.0E-5,0.20236,0.79763
270000.0,1.0E-5,0.20069,0.7993
273000.0,1.0E-5,0.19905,0.80094
276000.0,1.0E-5,0.19754,0.80245
279000.0,1.0E-5,0.19592,0.80407
282000.0,1.0E-5,0.19431,0.80568
285000.0,1.0E-5,0.19271,0.80728
288000.0,1.0E-5,0.19125,0.80874
291000.0,1.0E-5,0.18986,0.81013
294000.0,1.0E-5,0.18841,0.81158
297000.0,1.0E-5,0.18701,0.81298
300000.0,1.0E-5,0.18565,0.81434
