WTP,Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0,0.0075,0.6551,0.3374
3000.0,0.0073,0.6515,0.3412
6000.0,0.0071,0.6482,0.3447
9000.0,0.007,0.6444,0.3486
12000.0,0.007,0.6416,0.3514
15000.0,0.0068,0.6376,0.3556
18000.0,0.0067,0.6337,0.3596
21000.0,0.0067,0.6312,0.3621
24000.0,0.0065,0.6281,0.3654
27000.0,0.0064,0.6254,0.3682
30000.0,0.0063,0.622,0.3717
33000.0,0.0062,0.6195,0.3743
36000.0,0.0061,0.6165,0.3774
39000.0,0.0061,0.6135,0.3804
42000.0,0.0061,0.6115,0.3824
45000.0,0.0059,0.6094,0.3847
48000.0,0.0058,0.6064,0.3878
51000.0,0.0058,0.6038,0.3904
54000.0,0.0058,0.601,0.3932
57000.0,0.0058,0.5982,0.396
60000.0,0.0058,0.5953,0.3989
63000.0,0.0057,0.5928,0.4015
66000.0,0.0057,0.5905,0.4038
69000.0,0.0057,0.5884,0.4059
72000.0,0.0056,0.586,0.4084
75000.0,0.0056,0.5843,0.4101
78000.0,0.0056,0.5816,0.4128
81000.0,0.0056,0.5796,0.4148
84000.0,0.0056,0.5777,0.4167
87000.0,0.0056,0.5757,0.4187
90000.0,0.0055,0.5741,0.4204
93000.0,0.0055,0.5727,0.4218
96000.0,0.0053,0.5709,0.4238
99000.0,0.0052,0.5684,0.4264
102000.0,0.0052,0.5661,0.4287
105000.0,0.0051,0.5644,0.4305
108000.0,0.0051,0.5625,0.4324
111000.0,0.0051,0.5607,0.4342
114000.0,0.0051,0.5572,0.4377
117000.0,0.005,0.5557,0.4393
120000.0,0.005,0.5537,0.4413
123000.0,0.005,0.5519,0.4431
126000.0,0.005,0.5497,0.4453
129000.0,0.005,0.5468,0.4482
132000.0,0.005,0.5449,0.4501
135000.0,0.005,0.5433,0.4517
138000.0,0.005,0.5409,0.4541
141000.0,0.005,0.5393,0.4557
144000.0,0.005,0.5373,0.4577
147000.0,0.005,0.5354,0.4596
150000.0,0.0049,0.5343,0.4608
153000.0,0.0049,0.5324,0.4627
156000.0,0.0049,0.5305,0.4646
159000.0,0.0049,0.5293,0.4658
162000.0,0.0049,0.5275,0.4676
165000.0,0.0047,0.5262,0.4691
168000.0,0.0047,0.5252,0.4701
171000.0,0.0047,0.524,0.4713
174000.0,0.0047,0.5224,0.4729
177000.0,0.0047,0.5212,0.4741
180000.0,0.0047,0.5199,0.4754
183000.0,0.0047,0.5183,0.477
186000.0,0.0047,0.5166,0.4787
189000.0,0.0046,0.5154,0.48
192000.0,0.0046,0.5142,0.4812
195000.0,0.0045,0.5122,0.4833
198000.0,0.0044,0.5109,0.4847
201000.0,0.0044,0.5095,0.4861
204000.0,0.0044,0.5077,0.4879
207000.0,0.0044,0.5068,0.4888
210000.0,0.0044,0.5053,0.4903
213000.0,0.0043,0.504,0.4917
216000.0,0.0043,0.5025,0.4932
219000.0,0.0042,0.5015,0.4943
222000.0,0.0042,0.4994,0.4964
225000.0,0.0042,0.498,0.4978
228000.0,0.0042,0.4969,0.4989
231000.0,0.0041,0.4962,0.4997
234000.0,0.0041,0.4947,0.5012
237000.0,0.0041,0.4934,0.5025
240000.0,0.0041,0.4918,0.5041
243000.0,0.0041,0.4905,0.5054
246000.0,0.0041,0.4896,0.5063
249000.0,0.0041,0.4878,0.5081
252000.0,0.0041,0.4864,0.5095
255000.0,0.0041,0.4846,0.5113
258000.0,0.0041,0.4833,0.5126
261000.0,0.0041,0.4814,0.5145
264000.0,0.0041,0.4797,0.5162
267000.0,0.0041,0.4785,0.5174
270000.0,0.0041,0.4773,0.5186
273000.0,0.0041,0.4761,0.5198
276000.0,0.0041,0.475,0.5209
279000.0,0.0041,0.474,0.5219
282000.0,0.0041,0.473,0.5229
285000.0,0.0041,0.4722,0.5237
288000.0,0.0041,0.4709,0.525
291000.0,0.0041,0.4701,0.5258
294000.0,0.0041,0.4698,0.5261
297000.0,0.0041,0.4691,0.5268
300000.0,0.0041,0.4682,0.5277
