,Variable Name,Value,Lower Bound,Upper Bound,a,scale,gamma_mean,gamma_2.5pct,gamma_97.5pct
0,cLevel1NurseryAdmissionPerDay,703.0,234.0,1172.0,3.515,200.0,703.0,170.40595799689018,1605.8975531902963
1,cLevel1NursingCarePerDay,410.9,273.93,684.83,4.109,100.0,410.9,114.53996023361049,893.0805926503965
2,cLevel2NICUAdmissionPerDay,3066.0,1022.0,5109.0,5.11,600.0,3066.0,1011.0936386484794,6240.3543830147355
3,cLevel2NursingCarePerDay,501.1,334.07,835.17,5.011,100.0,501.1,162.96295448844086,1025.7514096851949
4,cGentamicin1,21.0,7.0,34.0,5.185185185185185,4.05,21.0,6.996807356916319,42.561255463651804
5,cAmpicillin1,60.0,20.0,100.0,5.185825410544512,11.57,60.0,19.992604349062688,121.59923770534124
6,cInitialNICUTests,682.0,227.0,1137.0,3.41,200.0,682.0,160.5435820905261,1573.470699921937
7,cBloodCulture1,172.0,57.0,287.0,1.72,100.0,172.0,16.142635773828058,507.7167102525368
8,cCSF,104.0,35.0,174.0,5.25783619817998,19.779999999999998,104.0,34.98789062634868,209.93350432373222
9,cReadmission,5378.5,4302.8,6454.19,86.11111111111111,62.46,5378.5,4302.7608268812555,6572.458315889993
10,cOtotoxicity,520114.0,144741.0,875120.0,4.098613081166273,126900.0,520114.00000000006,144675.7650110048,1131345.9466577722
11,cNeurocognitiveDisability,1137012.0,875120.0,1709879.0,12.775415730337079,89000.0,1137012.0,601548.8012830049,1840092.7238179117
12,cInfantDeath,10194674.0,5825528.0,14563822.0,15.984123549702101,637800.0,10194674.0,5825290.629889195,15766688.258196281
