,Unnamed: 0,variable,mean,lower,upper,alpha,beta,beta_mean,beta_2.5pct,beta_97.5pct
0,1,pChorio,0.031,0.01,0.068580161,3.689,115.31099999999999,0.031,0.007987830163776294,0.06865421562374607
1,2,pConcernNoChorio,0.038598111,0.036347543,0.040848679,1042.148997,25957.851003,0.038598111,0.036332968140807886,0.040927993472270385
2,3,pYellow,0.028467994,0.024277423,0.032658565,142.33997,4857.66003,0.028467994,0.024040137197874897,0.033252979619020295
3,4,pRed,0.015632714,0.012499836,0.018765591,78.16356999999999,4921.83643,0.015632714,0.012381800021601611,0.019250324711892808
4,5,pConcernGreen,0.017906336,0.014482132,0.02133054,89.53168,4910.46832,0.017906336,0.014417044161613499,0.0217606463269433
5,6,pConcernYellow,0.115606936,0.067745827,0.163468046,15.722543296,120.27745670399999,0.115606936,0.067682308416752,0.1742098321997394
6,7,pConcernECO,0.031440962,0.020385662,0.042496261,24.52395036,755.47604964,0.031440962,0.020379869439382234,0.04477194777947513
7,8,pEOSNoChorio,0.011959522,0.005283727,0.018635316,8.299908268,685.700091732,0.011959521999999998,0.005281039062526306,0.021279178088884132
8,9,pEOSChorio,0.004361329,0.001851579,0.00687108,4.361329,995.638671,0.004361329,0.0012792174284867145,0.00928814097151498
9,10,pEOSGreen,0.009615385,1e-06,0.035602645,0.36538463000000004,37.63461537,0.009615385,8.027778381489147e-07,0.05516112351020671
10,11,pEOSYellow,0.01,1e-06,0.098478535,0.09,8.91,0.01,1.1274719914772975e-19,0.1017569302123431
11,12,pEOSRed,0.021052632,1e-06,0.054926976,0.336842112,15.663157888,0.021052632,8.160285714038114e-07,0.12370467271720026
12,13,pEOSECO,0.005847476,1e-06,0.013364812,0.391780892,66.608219108,0.005847476,9.063719713277531e-07,0.03263086132407183
13,14,pGBS,0.694716781,0.555961544,0.833472017,23.620370554,10.379629446,0.694716781,0.5325741571941239,0.8351774445383973
14,15,pReadmission,4.19e-05,1.04e-05,7.34e-05,3.6034,85996.3966,4.19e-05,1.0397645576353532e-05,9.494322088277052e-05
15,16,pDeath,0.025,0.019383868,0.030616132,50.0,1950.0,0.025,0.018620443963519178,0.03227816984303111
16,17,pMeningitis,0.04,0.032967657,0.047032343,80.0,1920.0,0.04,0.03185854997000167,0.0490121617389091
17,18,pLTSMeningitis,0.19,0.113679531,0.266320469,15.77,67.23,0.19,0.11360290974526552,0.2805233416694245
