pIllAppearingBCPosYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.05527,,4377.840015,3560.231054,3773.356438,,29.07265838,29.07733035,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,484977.3326
0.0576242,,4377.840015,3563.800464,3773.356438,,29.07265838,29.07731089,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,456629.785
0.0599784,,4377.840015,3567.369875,3773.356438,,29.07265838,29.07729143,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,430589.0452
0.0623326,,4377.840015,3570.939285,3773.356438,,29.07265838,29.07727196,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,406584.5443
0.0646868,,4377.840015,3574.508695,3773.356438,,29.07265838,29.0772525,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,384386.4351
0.067041,,4377.840015,3578.078106,3773.356438,,29.07265838,29.07723303,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,363798.2089
0.0693952,,4377.840015,3581.647516,3773.356438,,29.07265838,29.07721357,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,344650.8627
0.0717494,,4377.840015,3585.216927,3773.356438,,29.07265838,29.0771941,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,326798.2494
0.0741036,,4377.840015,3588.786337,3773.356438,,29.07265838,29.07717464,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,310113.34
0.0764578,,4377.840015,3592.355748,3773.356438,,29.07265838,29.07715517,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,294485.1969
0.078812,,4377.840015,3595.925158,3773.356438,,29.07265838,29.07713571,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,279816.5038
0.0811662,,4377.840015,3599.494569,3773.356438,,29.07265838,29.07711625,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,266021.5377
0.0835204,,4377.840015,3603.063979,3773.356438,,29.07265838,29.07709678,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,253024.4921
0.0858746,,4377.840015,3606.63339,3773.356438,,29.07265838,29.07707732,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,240758.0836
0.0882288,,4377.840015,3610.2028,3773.356438,,29.07265838,29.07705785,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,229162.3867
0.090583,,4377.840015,3613.772211,3773.356438,,29.07265838,29.07703839,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,218183.855
0.0929372,,4377.840015,3617.341621,3773.356438,,29.07265838,29.07701892,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,207774.4938
0.0952914,,4377.840015,3620.911031,3773.356438,,29.07265838,29.07699946,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,197891.1597
0.0976456,,4377.840015,3624.480442,3773.356438,,29.07265838,29.07697999,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,188494.9617
0.0999998,,4377.840015,3628.049852,3773.356438,,29.07265838,29.07696053,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,179550.7507
0.102354,,4377.840015,3631.619263,3773.356438,,29.07265838,29.07694107,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,171026.6796
0.1047082,,4377.840015,3635.188673,3773.356438,,29.07265838,29.0769216,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,162893.8247
0.1070624,,4377.840015,3638.758084,3773.356438,,29.07265838,29.07690214,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,155125.8576
0.1094166,,4377.840015,3642.327494,3773.356438,,29.07265838,29.07688267,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,147698.7606
0.1117708,,4377.840015,3645.896905,3773.356438,,29.07265838,29.07686321,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,140590.5784
0.114125,,4377.840015,3649.466315,3773.356438,,29.07265838,29.07684374,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,133781.2019
0.1164792,,4377.840015,3653.035726,3773.356438,,29.07265838,29.07682428,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,127252.1777
0.1188334,,4377.840015,3656.605136,3773.356438,,29.07265838,29.07680481,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,120986.5411
0.1211876,,4377.840015,3660.174547,3773.356438,,29.07265838,29.07678535,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,114968.6694
0.1235418,,4377.840015,3663.743957,3773.356438,,29.07265838,29.07676589,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,109184.1511
0.125896,,4377.840015,3667.313368,3773.356438,,29.07265838,29.07674642,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,103619.6716
0.1282502,,4377.840015,3670.882778,3773.356438,,29.07265838,29.07672696,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,98262.90979
0.1306044,,4377.840015,3674.452188,3773.356438,,29.07265838,29.07670749,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,93102.44805
0.1329586,,4377.840015,3678.021599,3773.356438,,29.07265838,29.07668803,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,88127.69026
0.1353128,,4377.840015,3681.591009,3773.356438,,29.07265838,29.07666856,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,83328.78952
