IncidenceEOS,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.2,,4020.761689505083,3352.578434687146,3416.2781123911127,,29.073605295075613,29.07746243112898,29.07871672233793,,0.9999921368494377,0.9999921368494376,0.9999921368494377,,Strongly Dominated (Baseline),Cost Saving,50785.39756107827
0.23800000000000002,,4037.7229099788,3369.539655160862,3433.23933286483,,29.07356031667698,29.077417452730344,29.078671743939296,,0.999990660458519,0.9999906604585189,0.999990660458519,,Strongly Dominated (Baseline),Cost Saving,50785.39756107936
0.276,,4054.684130452517,3386.500875634579,3450.200553338547,,29.073515338278348,29.077372474331717,29.078626765540665,,0.9999891840676003,0.9999891840676003,0.9999891840676004,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.314,,4071.6453509262337,3403.4620961082965,3467.161773812264,,29.073470359879718,29.077327495933083,29.07858178714203,,0.9999877076766818,0.9999877076766817,0.9999877076766817,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.352,,4088.6065713999515,3420.4233165820133,3484.122994285981,,29.073425381481083,29.077282517534453,29.0785368087434,,0.9999862312857631,0.999986231285763,0.999986231285763,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.39,,4105.567791873668,3437.384537055731,3501.0842147596986,,29.073380403082453,29.07723753913582,29.078491830344767,,0.9999847548948445,0.9999847548948444,0.9999847548948444,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.428,,4122.529012347385,3454.345757529448,3518.0454352334154,,29.07333542468382,29.077192560737185,29.078446851946136,,0.9999832785039259,0.9999832785039257,0.9999832785039258,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
0.466,,4139.490232821103,3471.3069780031656,3535.0066557071323,,29.07329044628519,29.077147582338554,29.078401873547502,,0.9999818021130072,0.9999818021130071,0.9999818021130071,,Strongly Dominated (Baseline),Cost Saving,50785.39756122212
0.504,,4156.45145329482,3488.2681984768824,3551.96787618085,,29.073245467886558,29.07710260393992,29.078356895148872,,0.9999803257220886,0.9999803257220885,0.9999803257220885,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
0.542,,4173.4126737685365,3505.229418950599,3568.929096654567,,29.073200489487924,29.07705762554129,29.078311916750238,,0.9999788493311699,0.9999788493311699,0.9999788493311699,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.5800000000000001,,4190.373894242253,3522.190639424316,3585.8903171282836,,29.07315551108929,29.077012647142656,29.078266938351607,,0.9999773729402512,0.9999773729402512,0.9999773729402512,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
0.618,,4207.335114715971,3539.1518598980338,3602.851537602001,,29.073110532690656,29.076967668744025,29.078221959952973,,0.9999758965493326,0.9999758965493326,0.9999758965493326,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
0.6559999999999999,,4224.296335189688,3556.113080371751,3619.812758075718,,29.073065554292025,29.076922690345395,29.078176981554343,,0.999974420158414,0.999974420158414,0.999974420158414,,Strongly Dominated (Baseline),Cost Saving,50785.39756122248
0.694,,4241.257555663406,3573.0743008454674,3636.773978549435,,29.07302057589339,29.07687771194676,29.07813200315571,,0.9999729437674953,0.9999729437674953,0.9999729437674953,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.732,,4258.218776137122,3590.0355213191847,3653.7351990231523,,29.07297559749476,29.076832733548127,29.078087024757075,,0.9999714673765767,0.9999714673765766,0.9999714673765767,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.77,,4275.179996610839,3606.996741792902,3670.6964194968696,,29.072930619096127,29.076787755149493,29.078042046358444,,0.9999699909856581,0.9999699909856581,0.9999699909856581,,Strongly Dominated (Baseline),Cost Saving,50785.397561079
0.808,,4292.141217084556,3623.9579622666197,3687.6576399705864,,29.072885640697496,29.076742776750866,29.077997067959814,,0.9999685145947395,0.9999685145947395,0.9999685145947395,,Strongly Dominated (Baseline),Cost Saving,50785.39756122212
0.8460000000000001,,4309.102437558273,3640.919182740336,3704.6188604443037,,29.072840662298862,29.07669779835223,29.07795208956118,,0.9999670382038208,0.9999670382038208,0.9999670382038208,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
0.8839999999999999,,4326.0636580319915,3657.8804032140533,3721.580080918021,,29.07279568390023,29.076652819953598,29.077907111162546,,0.9999655618129023,0.9999655618129022,0.9999655618129022,,Strongly Dominated (Baseline),Cost Saving,50785.397561222846
