pRed,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0276,,4377.840015,3546.694943,3773.356438,,29.07265838,29.07747122,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,759112.6046
0.0278383,,4377.840015,3550.212497,3773.356438,,29.07265838,29.07745059,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,699036.4668
0.0280766,,4377.840015,3553.730052,3773.356438,,29.07265838,29.07742996,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,646253.7083
0.0283149,,4377.840015,3557.247606,3773.356438,,29.07265838,29.07740933,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,599512.1864
0.0285532,,4377.840015,3560.765161,3773.356438,,29.07265838,29.07738871,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,557830.8706
0.0287915,,4377.840015,3564.282715,3773.356438,,29.07265838,29.07736808,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,520430.2347
0.0290298,,4377.840015,3567.80027,3773.356438,,29.07265838,29.07734745,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,486683.0469
0.0292681,,4377.840015,3571.317824,3773.356438,,29.07265838,29.07732682,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,456078.9103
0.0295064,,4377.840015,3574.835378,3773.356438,,29.07265838,29.07730619,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,428198.2696
0.0297447,,4377.840015,3578.352933,3773.356438,,29.07265838,29.07728556,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,402693.0616
0.029983,,4377.840015,3581.870487,3773.356438,,29.07265838,29.07726493,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,379272.1099
0.0302213,,4377.840015,3585.388042,3773.356438,,29.07265838,29.0772443,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,357689.9591
0.0304596,,4377.840015,3588.905596,3773.356438,,29.07265838,29.07722367,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,337738.2399
0.0306979,,4377.840015,3592.423151,3773.356438,,29.07265838,29.07720304,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,319238.9197
0.0309362,,4377.840015,3595.940705,3773.356438,,29.07265838,29.07718242,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,302038.9756
0.0311745,,4377.840015,3599.45826,3773.356438,,29.07265838,29.07716179,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,286006.1519
0.0314128,,4377.840015,3602.975814,3773.356438,,29.07265838,29.07714116,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,271025.5524
0.0316511,,4377.840015,3606.493369,3773.356438,,29.07265838,29.07712053,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,256996.883
0.0318894,,4377.840015,3610.010923,3773.356438,,29.07265838,29.0770999,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,243832.2035
0.0321277,,4377.840015,3613.528477,3773.356438,,29.07265838,29.07707927,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,231454.0817
0.032366,,4377.840015,3617.046032,3773.356438,,29.07265838,29.07705864,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,219794.0701
