cImplementation2,cImplementation3,ICER (Cost/QALY)-Categorical Risk Assessment,ICER (Cost/QALY)-NSC,ICER (Cost/QALY)-Enhanced Clinical Observation
0.0,0.0,NaN,NaN,50814.453369144045
0.0,20.0,NaN,NaN,66759.71381370658
0.0,40.0,NaN,NaN,82704.97425826913
0.0,60.0,NaN,NaN,98650.23470283166
0.0,80.0,NaN,NaN,114595.49514739419
0.0,100.0,NaN,NaN,130540.75559195672
0.0,120.0,NaN,NaN,146486.01603651926
0.0,140.0,NaN,NaN,162431.2764810818
0.0,160.0,NaN,NaN,178376.53692564435
0.0,180.0,NaN,NaN,194321.79737020688
0.0,200.0,NaN,NaN,210267.05781476942
0.0,220.0,NaN,NaN,226212.31825933195
0.0,240.0,NaN,NaN,242157.57870389448
0.0,260.0,NaN,NaN,258102.83914845702
0.0,280.0,NaN,NaN,274048.0995930196
0.0,300.0,NaN,NaN,289993.3600375821
0.0,320.0,NaN,NaN,305938.62048214464
0.0,340.0,NaN,NaN,321883.8809267072
0.0,360.0,NaN,NaN,337829.1413712697
0.0,380.0,NaN,NaN,353774.40181583224
0.0,400.0,NaN,NaN,369719.6622603948
0.0,420.0,NaN,NaN,385664.9227049573
0.0,440.0,NaN,NaN,401610.18314951984
0.0,460.0,NaN,NaN,417555.4435940824
0.0,480.0,NaN,NaN,433500.7040386449
0.0,500.0,NaN,NaN,449445.96448320744
0.0,520.0,NaN,NaN,465391.22492777003
0.0,540.0,NaN,NaN,481336.48537233257
0.0,560.0,NaN,NaN,497281.7458168951
0.0,580.0,NaN,NaN,513227.00626145763
0.0,600.0,NaN,NaN,529172.2667060201
0.0,620.0,NaN,NaN,545117.5271505826
0.0,640.0,NaN,NaN,561062.7875951452
0.0,660.0,NaN,NaN,577008.0480397077
0.0,680.0,NaN,NaN,592953.3084842704
0.0,700.0,NaN,NaN,608898.5689288329
0.0,720.0,NaN,NaN,624843.8293733954
0.0,740.0,NaN,NaN,640789.089817958
0.0,760.0,NaN,NaN,656734.3502625205
0.0,780.0,NaN,NaN,672679.610707083
0.0,800.0,NaN,NaN,688624.8711516456
0.0,820.0,NaN,NaN,704570.1315962081
0.0,840.0,NaN,NaN,720515.3920407706
0.0,860.0,NaN,NaN,736460.6524853332
0.0,880.0,NaN,NaN,752405.9129298957
0.0,900.0,NaN,NaN,768351.1733744582
0.0,920.0,NaN,NaN,784296.4338190207
0.0,940.0,NaN,NaN,800241.6942635833
0.0,960.0,NaN,NaN,816186.9547081458
0.0,980.0,NaN,NaN,832132.2151527083
0.0,1000.0,NaN,NaN,848077.4755972709
0.0,1020.0,NaN,NaN,864022.7360418334
0.0,1040.0,NaN,NaN,879967.996486396
0.0,1060.0,NaN,NaN,895913.2569309585
0.0,1080.0,NaN,NaN,911858.517375521
0.0,1100.0,NaN,NaN,927803.7778200835
0.0,1120.0,NaN,NaN,943749.0382646461
0.0,1140.0,NaN,NaN,959694.2987092086
0.0,1160.0,NaN,NaN,975639.5591537711
0.0,1180.0,NaN,NaN,991584.8195983337
0.0,1200.0,NaN,NaN,1007530.0800428962
0.0,1220.0,NaN,NaN,1023475.3404874587
0.0,1240.0,NaN,NaN,1039420.6009320213
0.0,1260.0,NaN,NaN,1055365.8613765838
0.0,1280.0,NaN,NaN,1071311.1218211465
0.0,1300.0,NaN,NaN,1087256.3822657089
0.0,1320.0,NaN,NaN,1103201.6427102715
0.0,1340.0,NaN,NaN,1119146.903154834
0.0,1360.0,NaN,NaN,1135092.1635993966
0.0,1380.0,NaN,NaN,1151037.424043959
0.0,1400.0,NaN,NaN,1166982.6844885217
0.0,1420.0,NaN,NaN,1182927.944933084
0.0,1440.0,NaN,NaN,1198873.2053776467
0.0,1460.0,NaN,NaN,1214818.4658222091
0.0,1480.0,NaN,NaN,1230763.7262667718
0.0,1500.0,NaN,NaN,1246708.9867113342
0.0,1520.0,NaN,NaN,1262654.2471558969
0.0,1540.0,NaN,NaN,1278599.5076004593
0.0,1560.0,NaN,NaN,1294544.768045022
0.0,1580.0,NaN,NaN,1310490.0284895846
0.0,1600.0,NaN,NaN,1326435.288934147
0.0,1620.0,NaN,NaN,1342380.5493787096
0.0,1640.0,NaN,NaN,1358325.809823272
0.0,1660.0,NaN,NaN,1374271.0702678338
0.0,1680.0,NaN,NaN,1390216.3307123964
0.0,1700.0,NaN,NaN,1406161.591156959
0.0,1720.0,NaN,NaN,1422106.8516015215
0.0,1740.0,NaN,NaN,1438052.1120460841
0.0,1760.0,NaN,NaN,1453997.3724906466
0.0,1780.0,NaN,NaN,1469942.6329352092
0.0,1800.0,NaN,NaN,1485887.8933797716
0.0,1820.0,NaN,NaN,1501833.1538243343
0.0,1840.0,NaN,NaN,1517778.4142688967
0.0,1860.0,NaN,NaN,1533723.6747134593
0.0,1880.0,NaN,NaN,1549668.9351580217
0.0,1900.0,NaN,NaN,1565614.1956025844
0.0,1920.0,NaN,NaN,1581559.4560471468
0.0,1940.0,NaN,NaN,1597504.7164917095
0.0,1960.0,NaN,NaN,1613449.9769362719
0.0,1980.0,NaN,NaN,1629395.2373808345
0.0,2000.0,NaN,NaN,1645340.497825397
