pYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.05838,,4377.840015,3623.243761,3773.356438,,29.07265838,29.07695321,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,183826.1681
0.0591684,,4377.840015,3625.149434,3773.356438,,29.07265838,29.07694356,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,179372.2809
0.0599568,,4377.840015,3627.055108,3773.356438,,29.07265838,29.0769339,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,175021.254
0.0607452,,4377.840015,3628.960782,3773.356438,,29.07265838,29.07692425,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,170769.5649
0.0615336,,4377.840015,3630.866456,3773.356438,,29.07265838,29.0769146,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,166613.8499
0.062322,,4377.840015,3632.77213,3773.356438,,29.07265838,29.07690495,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,162550.8957
0.0631104,,4377.840015,3634.677803,3773.356438,,29.07265838,29.07689529,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,158577.6307
0.0638988,,4377.840015,3636.583477,3773.356438,,29.07265838,29.07688564,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,154691.1176
0.0646872,,4377.840015,3638.489151,3773.356438,,29.07265838,29.07687599,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,150888.5458
0.0654756,,4377.840015,3640.394825,3773.356438,,29.07265838,29.07686634,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,147167.2249
0.066264,,4377.840015,3642.300498,3773.356438,,29.07265838,29.07685668,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,143524.5783
0.0670524,,4377.840015,3644.206172,3773.356438,,29.07265838,29.07684703,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,139958.1371
0.0678408,,4377.840015,3646.111846,3773.356438,,29.07265838,29.07683738,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,136465.5348
0.0686292,,4377.840015,3648.01752,3773.356438,,29.07265838,29.07682773,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,133044.5017
0.0694176,,4377.840015,3649.923194,3773.356438,,29.07265838,29.07681807,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,129692.8602
0.070206,,4377.840015,3651.828867,3773.356438,,29.07265838,29.07680842,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,126408.5203
