pIllAppearingStrat3,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.04731,,4377.840015,3709.65676,3708.676309,,29.07265838,29.07651552,29.07812554,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0473925,,4377.840015,3709.65676,3709.993867,,29.07265838,29.07651552,29.0781183,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,210.326398
0.047475,,4377.840015,3709.65676,3711.311425,,29.07265838,29.07651552,29.07811105,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,1037.061451
0.0475575,,4377.840015,3709.65676,3712.628983,,29.07265838,29.07651552,29.0781038,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,1871.340331
0.04764,,4377.840015,3709.65676,3713.946542,,29.07265838,29.07651552,29.07809656,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,2713.266766
0.0477225,,4377.840015,3709.65676,3715.2641,,29.07265838,29.07651552,29.07808931,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,3562.946392
0.047805,,4377.840015,3709.65676,3716.581658,,29.07265838,29.07651552,29.07808206,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,4420.486804
0.0478875,,4377.840015,3709.65676,3717.899216,,29.07265838,29.07651552,29.07807482,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,5285.997594
0.04797,,4377.840015,3709.65676,3719.216774,,29.07265838,29.07651552,29.07806757,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,6159.5904
0.0480525,,4377.840015,3709.65676,3720.534333,,29.07265838,29.07651552,29.07806032,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,7041.378958
0.048135,,4377.840015,3709.65676,3721.851891,,29.07265838,29.07651552,29.07805308,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,7931.479145
0.0482175,,4377.840015,3709.65676,3723.169449,,29.07265838,29.07651552,29.07804583,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,8830.009035
0.0483,,4377.840015,3709.65676,3724.487007,,29.07265838,29.07651552,29.07803859,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,9737.088947
0.0483825,,4377.840015,3709.65676,3725.804565,,29.07265838,29.07651552,29.07803134,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,10652.8415
0.048465,,4377.840015,3709.65676,3727.122124,,29.07265838,29.07651552,29.07802409,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,11577.39168
0.0485475,,4377.840015,3709.65676,3728.439682,,29.07265838,29.07651552,29.07801685,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,12510.86686
0.04863,,4377.840015,3709.65676,3729.75724,,29.07265838,29.07651552,29.0780096,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,13453.39692
0.0487125,,4377.840015,3709.65676,3731.074798,,29.07265838,29.07651552,29.07800235,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,14405.11424
0.048795,,4377.840015,3709.65676,3732.392356,,29.07265838,29.07651552,29.07799511,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,15366.15382
0.0488775,,4377.840015,3709.65676,3733.709914,,29.07265838,29.07651552,29.07798786,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,16336.65328
0.04896,,4377.840015,3709.65676,3735.027473,,29.07265838,29.07651552,29.07798061,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,17316.75301
0.0490425,,4377.840015,3709.65676,3736.345031,,29.07265838,29.07651552,29.07797337,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,18306.59616
0.049125,,4377.840015,3709.65676,3737.662589,,29.07265838,29.07651552,29.07796612,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,19306.32875
0.0492075,,4377.840015,3709.65676,3738.980147,,29.07265838,29.07651552,29.07795887,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,20316.09972
0.04929,,4377.840015,3709.65676,3740.297705,,29.07265838,29.07651552,29.07795163,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,21336.06105
0.0493725,,4377.840015,3709.65676,3741.615264,,29.07265838,29.07651552,29.07794438,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,22366.36775
0.049455,,4377.840015,3709.65676,3742.932822,,29.07265838,29.07651552,29.07793714,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,23407.17805
0.0495375,,4377.840015,3709.65676,3744.25038,,29.07265838,29.07651552,29.07792989,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,24458.65338
0.04962,,4377.840015,3709.65676,3745.567938,,29.07265838,29.07651552,29.07792264,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,25520.9585
0.0497025,,4377.840015,3709.65676,3746.885496,,29.07265838,29.07651552,29.0779154,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,26594.2616
0.049785,,4377.840015,3709.65676,3748.203055,,29.07265838,29.07651552,29.07790815,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,27678.73437
0.0498675,,4377.840015,3709.65676,3749.520613,,29.07265838,29.07651552,29.0779009,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,28774.55206
0.04995,,4377.840015,3709.65676,3750.838171,,29.07265838,29.07651552,29.07789366,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,29881.89365
0.0500325,,4377.840015,3709.65676,3752.155729,,29.07265838,29.07651552,29.07788641,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,31000.94187
0.050115,,4377.840015,3709.65676,3753.473287,,29.07265838,29.07651552,29.07787916,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,32131.88336
0.0501975,,4377.840015,3709.65676,3754.790845,,29.07265838,29.07651552,29.07787192,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,33274.90872
0.05028,,4377.840015,3709.65676,3756.108404,,29.07265838,29.07651552,29.07786467,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,34430.21268
0.0503625,,4377.840015,3709.65676,3757.425962,,29.07265838,29.07651552,29.07785742,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,35597.99414
0.050445,,4377.840015,3709.65676,3758.74352,,29.07265838,29.07651552,29.07785018,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,36778.45634
0.0505275,,4377.840015,3709.65676,3760.061078,,29.07265838,29.07651552,29.07784293,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,37971.80695
0.05061,,4377.840015,3709.65676,3761.378636,,29.07265838,29.07651552,29.07783569,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,39178.25822
