pYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.05838,,5566.023509,4714.575346,4854.655804,,30.89848687,30.90304724,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,161552.2552
0.066264,,5566.023509,4737.075077,4854.655804,,30.89848687,30.90294474,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,121269.3982
0.074148,,5566.023509,4759.574807,4854.655804,,30.89848687,30.90284225,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,88688.75663
0.082032,,5566.023509,4782.074538,4854.655804,,30.89848687,30.90273976,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,61794.05602
0.089916,,5566.023509,4804.574268,4854.655804,,30.89848687,30.90263727,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,39216.29745
0.0978,,5566.023509,4827.073999,4854.655804,,30.89848687,30.90253478,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,19993.31462
0.105684,,5566.023509,4849.573729,4854.655804,,30.89848687,30.90243228,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,3429.099344
0.113568,,5566.023509,4872.07346,4854.655804,,30.89848687,30.90232979,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-10992.27764
0.121452,,5566.023509,4894.57319,4854.655804,,30.89848687,30.9022273,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-23661.36843
0.129336,,5566.023509,4917.072921,4854.655804,,30.89848687,30.90212481,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-34879.2519
0.13722,,5566.023509,4939.572651,4854.655804,,30.89848687,30.90202232,30.90391433,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-44881.76802
