,Variable Name,Value,Lower Bound,Upper Bound,a,scale,gamma_mean,gamma_2.5pct,gamma_97.5pct
0,cLevel1NurseryAdmissionPerDay,1171.75,937.4,1406.1,86.09478324761206,13.61,1171.75,937.3705105497761,1431.8893721911352
1,cLevel1NursingCarePerDay,352.0,281.92,422.88,86.91358024691357,4.050000000000001,352.0,281.90472141601936,429.76084459459605
2,cLevel2NICUAdmissionPerDay,5109.25,4087.4,6131.1,86.11579302207988,59.330000000000005,5109.25,4087.3889837828247,6243.405957970916
3,cLevel2NursingCarePerDay,431.0,344.4,516.6,85.17786561264823,5.06,431.0,344.35289995166863,527.2241628016659
4,cGentamicin1,34.245,27.4,41.09,85.61249999999998,0.4,34.245,27.3769728903748,41.87011044357452
5,cAmpicillin1,99.68,79.75,119.62,85.93103448275863,1.16,99.68,79.72358657855735,121.83196198788463
6,cInitialNICUTests,1137.0,909.6,1364.4,86.07115821347465,13.209999999999999,1137.0,909.5419539853096,1389.4608360432107
7,cBloodCulture1,287.0,229.6,344.4,85.92814371257484,3.3400000000000003,287.0,229.54031405535838,350.78135146498715
8,cCSF,174.0,139.2,208.8,85.71428571428572,2.03,174.0,139.122864318533,212.71933746842132
9,cReadmission,5378.5,4302.8,6454.19,86.11111111111111,62.46,5378.5,4302.7608268812555,6572.458315889993
10,cOtotoxicity,415190.0,44741.0,875120.0,1.8614212060076216,223050.0,415190.0,44739.14534011932,1188678.2584344605
11,cNeurocognitiveDisability,1148947.0,875120.0,1709879.0,13.593305964057121,84523.0,1148947.0,621669.7889288442,1835467.2175781585
12,cInfantDeath,10194674.0,5825528.0,14563822.0,15.985878036159503,637730.0,10194674.0,5825494.793952158,15766352.726099856
